N-gram,Frecuencia,Probabilidad (%)
ambiente-laboral,6,8.8235
horario-flexible,2,2.9412
prestación-sueldo,2,2.9412
laboral-crecimiento,2,2.9412
crecimiento-ambiente,2,2.9412
descuento-empleado,2,2.9412
trabajar-target,2,2.9412
sueldo-acorde,1,1.4706
acorde-posicion,1,1.4706
posicion-ambiente,1,1.4706
laboral-trabajo,1,1.4706
trabajo-pesado,1,1.4706
pesado-horario,1,1.4706
flexible-experiencia,1,1.4706
experiencia-ñ,1,1.4706
ñ-ubicación,1,1.4706
ubicación-cerca,1,1.4706
cerca-prestación,1,1.4706
sueldo-ambiente,1,1.4706
ambiente-grato,1,1.4706
